"brand","title","type","price","priceWithCurrency","available","availableText","sold","lastUpdated","itemLocation"
"Carolina Herrera","Good Girl by Carolina Herrera 2.7 oz Eau De Parfum Spray Women's New & Sealed","Eau de Parfum","43.99","US $43.99/ea","2","2 available / 393 sold","393","May 23, 2024 10:43:50 PDT","Thomasville, Alabama, United States"
"As Shown","Parfums de Marly Delina La Rosee Eau de Parfum 2.5 Fl Oz/75ml Spray for Women","Eau de Parfum","79.99","US $79.99","5","5 available / 40 sold","40","May 24, 2024 00:15:48 PDT","New Jersey, Hong Kong"
"PRADA","PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box","Eau de Parfum","59.99","US $59.99","10","More than 10 available / 35 sold","35","May 14, 2024 20:54:25 PDT","Orange, New Jersey, United States"
"As Show","J'adore Parfum D'eau by Christian 3.4 oz EDP Fragrance for Women New In Box","Eau de Parfum","59.99","US $59.99/ea","10","More than 10 available / 9 sold","9","May 23, 2024 01:23:05 PDT","USA, New Jersey, Hong Kong"
"Khadlaj","Shiyaaka for Men EDP Spray 100ML (3.4 FL.OZ) By Khadlaj (Woody, Aromatic, Earth)","Eau de Parfum","29.99","US $29.99/ea","10","More than 10 available",,"","Little Ferry, New Jersey, United States"
"Viktor & Rolf","Flowerbomb by Viktor & Rolf 3.4 oz 100ML Eau De Parfum Brand New Sealed In Box","Eau de Parfum","51.99","US $51.99/ea","8","8 available / 184 sold","184","May 23, 2024 10:44:09 PDT","Warren, Michigan, United States"
"AS SHOW","PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box US","Eau de Parfum","58.99","US $58.99",,"Out of Stock / 18 sold","18","May 24, 2024 00:15:13 PDT","Astoria, New York, United States"
"Versace","Versace Bright Crystal Women EDT 6.7 oz 200 ml New Sealed in Box","Eau de Toilette","52.79","US $52.79/ea","6","6 available / 258 sold","258","May 21, 2024 06:41:13 PDT","Dexter, Michigan, United States"
"Versace","Versace Bright Crystal by Versace for Women EDT Spray 3.0 oz / 90 ml New In Box","Eau de Toilette","29.99","US $29.99",,"Last One / 251 sold","251","May 23, 2024 22:39:02 PDT","Jamaica, New York, United States"
"Lattafa","Fakhar by Lattafa Eau de Parfum 3.4 oz / 100 ml Spray for Men","Eau de Parfum","22.75","US $22.75/ea","10","More than 10 available / 174 sold","174","May 24, 2024 00:25:04 PDT","New York, New York, United States"
"Yves Saint Laurent","Yves Saint Laurent Black Opium 3oz Eau de Parfum Women's New Sealed","Eau de Parfum","39.99","US $39.99/ea","10","More than 10 available / 77 sold","77","May 24, 2024 11:01:13 PDT","Ecorse, Michigan, United States"
"Gucci","Gucci Bloom 3.3oz / 3.4oz Eau de Parfum Women's Fragrance New Sealed","Eau de Parfum","64.99","US $64.99/ea","10","More than 10 available / 35 sold","35","May 24, 2024 11:01:04 PDT","Ecorse, Michigan, United States"
"Carolina Herrera","Very Good Girl GLAM by Carolina Herrera 2.7 oz Eau de parfum Spray New & Sealed","Eau de Parfum","60.99","US $60.99/ea","2","2 available / 51 sold","51","May 23, 2024 16:56:32 PDT","Quinlan, Texas, United States"
"Carolina Herrera","Good Girl by Carolina Herrera 2.7 fl oz Spray Eau De Parfum New & Sealed","Eau de Parfum","43.49","US $43.49/ea","2","2 available / 20 sold","20","May 22, 2024 10:25:36 PDT","Cincinnati, Ohio, United States"
"Coach","Coach Floral 3.0 oz EDP eau de parfum spray womens perfume 90ml Tester","Eau de Parfum","29.2","US $29.20/ea","10","More than 10 available / 505 sold","505","May 08, 2024 09:46:06 PDT","Edison, New Jersey, United States"
"Guerlain","Guerlain NEROLI OUTRENOIR Eau de Parfum 2ml /.06oz Sample Spray NIB","Eau de Parfum","13","US $13.00","10","More than 10 available / 94 sold","94","May 24, 2024 09:43:51 PDT","New York, New York, United States"
"Philosophy","Amazing Grace by Philosophy, 4 oz EDP Intense Spray for Women","Eau De Parfum","39.69","US $39.69/ea","10","More than 10 available / 234 sold","234","May 24, 2024 10:21:14 PDT","Edison, New Jersey, United States"
"Marc Jacobs","Marc Jacobs Decadence For Women by Marc Jacobs 3.4 oz 100ml EDP Spray New","Eau de Parfum","59.99","US $59.99","6","6 available / 34 sold","34","May 22, 2024 18:32:01 PDT","New York,USA, Hong Kong"
"AS SHOWN","PRADA Paradoxe By Prada EDP 3.0oz/90ml Spray Perfume For Women New In Box USA","Eau de Parfum","59.99","US $59.99",,"Last One / 43 sold","43","May 23, 2024 01:10:19 PDT","New York, New York, United States"
